Sample in Buffer,Sample in Window,TRIGGER,clk_vector,trigger_adc_buf_in[7:0],trig_vector,diff[8:0],prev_frame_adc[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,HEX,SIGNED,UNSIGNED
683,683,0,0,148,0,0,148
684,684,0,1,148,0,0,148
685,685,0,1,148,0,0,148
686,686,0,0,148,0,0,148
687,687,0,0,148,0,0,148
688,688,0,0,148,0,0,148
689,689,0,1,148,0,0,148
690,690,0,1,148,0,0,148
691,691,0,0,148,0,0,148
692,692,0,0,148,0,0,148
693,693,0,0,148,0,0,148
694,694,0,1,148,0,0,148
695,695,0,1,148,0,0,148
696,696,0,0,148,0,0,148
697,697,0,0,148,0,0,148
698,698,0,0,148,0,0,148
699,699,0,1,148,0,0,148
700,700,0,1,148,0,0,148
701,701,0,0,148,0,0,148
702,702,0,0,147,0,0,148
703,703,0,0,147,0,0,148
704,704,0,1,147,0,0,148
705,705,0,1,147,0,0,148
706,706,0,0,147,0,0,148
707,707,0,0,148,0,1,148
708,708,0,0,148,0,1,148
709,709,0,1,148,0,1,148
710,710,0,1,148,0,1,148
711,711,0,0,148,0,1,148
712,712,0,0,148,0,0,148
713,713,0,0,148,0,0,148
714,714,0,1,148,0,0,148
715,715,0,1,148,0,0,148
716,716,0,0,148,0,0,148
717,717,0,0,148,0,0,148
718,718,0,0,148,0,0,148
719,719,0,1,148,0,0,148
720,720,0,1,148,0,0,148
721,721,0,0,148,0,0,148
722,722,0,0,148,0,0,148
723,723,0,0,148,0,0,148
724,724,0,1,148,0,0,148
725,725,0,1,148,0,0,148
726,726,0,0,148,0,0,148
727,727,0,0,148,0,0,148
728,728,0,0,148,0,0,148
729,729,0,1,148,0,0,148
730,730,0,1,148,0,0,148
731,731,0,0,148,0,0,148
732,732,0,0,148,0,0,148
733,733,0,0,148,0,0,148
734,734,0,1,148,0,0,148
735,735,0,1,148,0,0,148
736,736,0,0,148,0,0,148
737,737,0,0,148,0,0,148
738,738,0,0,148,0,0,148
739,739,0,1,148,0,0,148
740,740,0,1,148,0,0,148
741,741,0,0,148,0,0,148
742,742,0,0,148,0,0,148
743,743,0,0,148,0,0,148
744,744,0,1,148,0,0,148
745,745,0,1,148,0,0,148
746,746,0,0,148,0,0,148
747,747,0,0,148,0,0,148
748,748,0,0,148,0,0,148
749,749,0,1,148,0,0,148
750,750,0,1,148,0,0,148
751,751,0,0,148,0,0,148
752,752,0,0,148,0,0,148
753,753,0,0,148,0,0,148
754,754,0,1,148,0,0,148
755,755,0,1,148,0,0,148
756,756,0,0,148,0,0,148
757,757,0,0,148,0,0,148
758,758,0,0,148,0,0,148
759,759,0,1,148,0,0,148
760,760,0,1,148,0,0,148
761,761,0,0,148,0,0,148
762,762,0,0,148,0,0,148
763,763,0,0,148,0,0,148
764,764,0,1,148,0,0,148
765,765,0,1,148,0,0,148
766,766,0,0,148,0,0,148
767,767,0,0,147,0,0,148
768,768,0,0,147,0,0,148
769,769,0,1,147,0,0,148
770,770,0,1,147,0,0,148
771,771,0,0,147,0,0,148
772,772,0,0,148,0,1,148
773,773,0,0,148,0,1,148
774,774,0,1,148,0,1,148
